SRR3405783_2	SRR3405784_2	SRR3405785_2	SRR3405786_2	SRR3405787_2	SRR3405788_2	SRR3405789_2	SRR3405790_2	SRR3405791_2	SRR3405792_2	SRR3405793_2	SRR3405794_2	SRR3405795_2	SRR3405796_2	SRR3405797_2	SRR3405798_2	SRR3405799_2	SRR3405800_2	SRR3405801_2	SRR3405802_2	SRR3405803_2	SRR3405804_2	SRR3405805_2	SRR3405806_2	SRR3405807_2	SRR3405808_2	SRR3405809_2	SRR3405810_2	SRR3405811_2	SRR3405812_2	SRR3405813_2	SRR3405814_2	SRR3405815_2	SRR3405816_2	SRR3405817_2	SRR3405818_2	SRR3405819_2	SRR3405820_2	SRR3405821_2	SRR3405822_2	SRR3405823_2	SRR3405824_2	SRR3405825_2	SRR3405826_2	SRR3405827_2	SRR3405828_2	SRR3405829_2	SRR3405830_2	SRR3405831_2	SRR3405832_2
YNR009W	323.345557242872	126.464239320402	91.2643989236323	179.270297303518	625.038447593829	912.19390796673	1019.87571909871	1270.98557979432	1360.02562180158	1386.86933416982	1254.99023082105	992.95865147836	630.993707461843	460.46102405556	291.395364715679	329.601197699151	273.409888645878	395.701949227668	453.511268474219	524.108347652578	670.536081346501	883.463305467027	960.560160916299	962.634465947554	919.080007822384	890.496576491901	741.271992257085	656.973859609493	530.34432374867	498.208574161838	562.648800234325	475.585887843479	523.646302025761	551.653469987659	707.810441685033	709.71179687089	581.422901940561	874.179885785487	672.681149227884	738.881162358698	675.982543056236	636.773821846459	594.66369540857	531.468605835362	559.89099329005	549.676095169979	556.066845901649	614.633177694302	619.742275186044	665.917725900777
YBL002W	415.730002169406	322.160726443943	381.74033528272	1036.60413087858	3016.44213900291	8264.11434502309	18120.840816654	23744.6123124495	26597.4402505629	19191.0582148426	13265.3073673259	9289.05825791446	6546.55971491662	4189.14881657819	3097.50161710225	2439.35264287943	2346.14112397655	3682.07165901051	6284.37043457132	9895.60644247776	13705.4158282861	14607.277178346	14601.4447705388	13881.2411742735	12113.0649523747	11067.7797349036	10080.6312820907	8476.99649000836	6602.74597209438	7925.09973191082	6929.74800288602	7978.85328170873	9846.12239944124	10942.0653409287	12491.414849541	15255.3695433844	15344.0747812554	13373.997339038	14853.0023389113	12666.7948401394	11868.78866227	10891.7940922807	9625.16558273486	9358.42565668522	9186.90702809931	9459.82328929586	9419.51795990588	10221.6827975171	11647.0288887252	11905.0113886252
YNL058C	698.805416751994	703.399637679899	474.967409452022	277.341695240148	177.954707399298	172.169048854648	173.989687105768	222.848981692126	332.66813770686	632.08048584697	1008.43820479824	1568.2220204569	1997.5132124771	2409.0483576725	1838.59068199608	1234.86531672539	1310.19356424493	1047.77417541974	637.56616639395	538.802974222276	493.292467487394	446.219492456495	481.44298622197	612.190301740811	815.487765787358	947.01610532425	1086.30850516954	1237.0207666133	1333.62393891807	1473.81886788015	1215.17760050608	1098.01602392548	1029.60848878611	931.618870234262	819.987973116181	961.5450151154	998.150904618988	947.100551531248	1140.26628934363	1008.89205625768	1067.91385645341	1170.81233231943	1143.58402963186	1161.46790825818	1174.55393157586	947.749477120488	982.203039901443	928.005265829082	936.919667063506	877.837687631746
YDR224C	2197.09160690669	1575.72595999946	1687.90071127578	2310.47777289416	3762.31402989256	8733.30017406558	20629.8091238015	26622.4563391818	25536.282260498	15759.6380353912	12168.9592188228	9025.2016397282	6098.02201925097	4296.93855630029	3411.71085378855	2617.06388772183	2886.27197432896	4461.40014586969	7154.58199193581	10896.0656014314	13658.4355932873	14257.2256799534	14672.3820221319	12937.7376552554	12345.5452164766	11192.1226983347	10759.5740978217	8627.31352383556	6640.33586252957	7778.29581330629	6961.20600289912	8150.32946836146	9068.02132776318	10109.89420508	11685.3249776641	13368.9097994438	15320.3686972707	12603.9898328893	13328.7085427939	10840.5725104577	10546.5153423239	9803.35511772921	9223.95818567235	9216.10353939223	8834.80166741224	8768.77533885374	8542.71321105769	9510.16163122071	10031.9169122002	10346.5845931266
YNL030W	1096.76917951245	637.85977642626	821.37959031269	1657.72298447724	3551.40474704895	7889.57115102351	13868.2737302125	17103.9259106382	16815.7517201823	11658.1772291831	8736.42957784125	6511.57110039894	4744.80659842919	3230.55268468071	2854.84497886927	2433.27704476516	3293.46040176181	4695.47735527198	7315.07786292181	11194.8563416819	11258.1726778941	13580.2030017435	14049.0645327237	11355.9561795927	11890.221175904	11372.9851905983	9091.15560473854	8278.04747464882	5756.15626577138	7100.9171022649	6822.79080284147	7442.63493007644	8156.30694074647	9332.13786729124	10623.112954378	12049.0747965532	13606.0445185876	11195.0583983015	10924.1055388413	9948.44192183205	9168.81739220054	8929.64219938174	9005.72423335093	9299.70534255734	8447.92046863263	8715.76089312669	8714.43973699791	9643.38261554854	9957.1352507006	10234.103998054
YDR113C	142.129915271592	222.466289607422	201.174212681125	269.959977115886	460.265570372257	728.949657138976	856.991756701817	883.932085276422	788.974968304773	685.930918300413	561.815272412646	402.77759383911	274.634309422398	159.068353764648	124.439301657941	127.587560399671	239.129138081716	287.023244862323	415.227849706915	473.901706872775	512.511654532357	606.499482562995	547.728614759778	574.797996378802	533.620502575775	459.69216783644	391.783395307048	345.729177802573	298.267608887927	328.285928218009	357.72240014898	345.794520045558	409.682003648672	416.55466101109	466.579113032209	500.232347149321	578.927524679013	506.972247565764	476.025305099783	415.962728438971	349.373115225258	386.877118505552	353.558062494518	416.018496702587	365.146299971771	353.429638180359	406.146862937969	412.530888969698	415.167155221719	405.093157616507
YNL031C	3541.40372218383	2827.44500028022	3609.35977678623	4329.90494546026	5734.0961273107	10531.5102398808	16499.4050091577	19016.8018587515	20728.6050297344	15094.8941724823	10774.5256290217	8119.88440913149	5677.04278370037	4135.77719788085	3689.62529415795	3048.431353835	3637.10402327085	5056.81082534137	6443.39386637396	9699.67808821511	14028.9388102097	13710.9914736704	13971.1498465477	12996.8696730372	11868.5390787339	11315.2096722363	10124.0391014571	8286.0054352632	7464.04476597897	8367.82336045835	8203.34760341643	8881.70856281398	10197.8398030533	11798.6293172871	13291.5483923154	14256.0495455324	13979.1034191889	14087.57813955	13889.9795142325	12434.1841038413	12349.7952741665	11267.5646906378	10443.781150613	10446.2443573932	10094.5564023149	9875.56815315539	9633.04035988446	11214.0277432772	11983.1165858095	12599.456801682
YDL055C	17955.7459626444	12192.2603864516	9410.04646536247	10555.8569176954	18099.7513198656	31529.0863443467	44060.1118283587	46984.8821926484	46560.1969739722	43791.8779063196	42279.6306264207	36267.6982008045	26585.3613854706	20242.4945188788	13378.2619224092	15781.3661018165	21620.2840997098	30988.2927891649	35178.0445296025	39702.4318868969	47072.0600035698	43237.1301311294	43812.4746519631	40841.0933402826	36529.5154878396	31728.8074969512	29370.3983959159	24954.3960510082	25269.3952592914	23898.9843869977	26784.2400111548	29823.593126121	33547.7491093315	35339.5967814544	36785.2958157628	37418.9821417944	35927.1941231297	37368.3687820477	35208.9922474158	31760.0313948676	30613.2006431514	29399.8843763848	28570.5410069694	28324.091860428	29489.9107024821	30316.8223319131	30678.1715441557	32315.9288858409	32920.2626870323	34300.8759597092
YBR009C	246.358519804093	264.928734926681	340.52415512366	410.212621476873	620.644504201254	3110.11808135676	11278.7889189255	17155.1065380125	15555.348642293	9011.56089319256	6004.14810912939	4332.65620039431	2932.6002729326	1742.42637511933	1586.60109613875	1128.54234972566	1245.81264245369	2063.03762731139	4273.01851010449	7459.97208855024	8474.59375421525	9025.68680287721	9554.43375555485	8150.65298042134	8039.23980629959	7652.74420390007	6085.99887937198	5055.95764367037	3794.12741936067	4755.52221369328	4566.80280190193	5245.65549997877	5956.59949189904	6723.04211893124	7962.61928857734	8831.33308525632	9685.80684069651	8181.87231730707	8122.81478063884	7131.57151521025	6374.82219593736	6214.09802307722	6039.07666314761	6205.44336588667	5750.18482860309	5716.25935856969	5171.78510926828	6704.19464881581	6497.40895718628	6674.66371774965
YBR038W	303.210485912729	324.930016356069	379.77766003705	238.324042297618	166.96984891786	166.12802959659	209.157815350551	374.258337674335	1045.14722407904	2254.65581124743	3848.83879967584	5040.31405623663	5784.42574897626	5972.38878246609	4943.35125836171	3555.74379637656	2775.90467982971	2146.63663066934	1610.84846659349	1207.40848314356	1007.93958724697	1043.74329557353	1401.30144540453	2214.84190132649	2522.3506374575	3139.9738240194	3479.30367536884	3694.26216076509	3660.9284597751	2434.40198882791	2565.17520106831	2206.45325256467	2105.39216743191	1886.69239480473	1649.90316140326	1475.51371962351	1391.17282331272	2046.98725986314	2158.9942029171	2805.01182006543	2942.45402709545	2805.32188083811	2875.16084783278	2627.48524233213	2701.2132238388	2829.29726143329	2818.49567971718	2437.33846327051	2440.28893100302	2428.92879214727
